feature,frequency,rank,docfreq,group
rt_sad,64,742,64,all
can_add,64,743,64,all
win_championship,64,744,64,all
luv_u,64,745,64,all
said_smell,64,746,64,all
step_closer,64,747,64,all
job_done,64,748,64,all
well_mine,64,749,64,all
colleg_student,64,750,64,all
come_visit,64,751,64,all
hot_hell,64,752,32,all
b_c,64,753,64,all
night_night,64,754,32,all
energi_need,64,755,64,all
full_year,64,756,64,all
love_tell,64,757,28,all
still_plenti,64,758,64,all
day_live,64,759,64,all
week_ago,64,760,64,all
care_year,64,761,44,all
u._senat,64,762,64,all
start_new,64,763,64,all
sign_front,64,764,64,all
chicken_cook,64,765,32,all
best_ever,63,766,63,all
like_big,63,767,63,all
see_old,63,768,63,all
realli_cool,63,769,63,all
say_friend,63,770,63,all
can_buy,63,771,63,all
follow_heart,63,772,63,all
new_zealand,63,773,55,all
sure_get,63,774,63,all
learn_lot,63,775,63,all
welcom_visit,63,776,63,all
miss_tonight,63,777,63,all
love_weekend,63,778,63,all
talk_new,63,779,63,all
like_write,63,780,63,all
make_believ,63,781,63,all
sometim_feel,63,782,63,all
twist_social,63,783,63,all
good_see,63,784,63,all
realli_hope,63,785,63,all
thing_finish,63,786,63,all
pi_day,63,787,63,all
dont_know,63,788,63,all
luck_new,63,789,63,all
get_done,63,790,63,all
lose_weight,63,791,63,all
come_week,63,792,63,all
way_well,63,793,63,all
grave_robber,63,794,21,all
live_feel,63,795,63,all
sixteen_year,63,796,63,all
game_just,63,797,63,all
end_day,63,798,63,all
plead_guilti,63,799,63,all
current_list,63,800,63,all
one_serv,63,801,63,all
colleg_game,63,802,63,all
tanqu_verd,63,803,21,all
said_go,63,804,63,all
solar_system,62,805,62,all
know_get,62,806,62,all
year_never,62,807,62,all
yeah_good,62,808,62,all
run_back,62,809,62,all
wait_next,62,810,62,all
long_day,62,811,62,all
eye_open,62,812,62,all
year_million,62,813,62,all
new_world,62,814,62,all
get_level,62,815,62,all
big_man,62,816,62,all
just_arriv,62,817,62,all
time_start,62,818,62,all
time_work,62,819,62,all
show_new,62,820,62,all
blog_pleas,62,821,31,all
renew_energi,62,822,62,all
first_two,62,823,62,all
polic_report,62,824,53,all
fertil_rate,62,825,31,all
act_like,61,826,61,all
best_way,61,827,61,all
level_use,61,828,61,all
wen_im,61,829,61,all
get_sort,61,830,61,all
car_stop,61,831,61,all
guess_just,61,832,61,all
thank_u,61,833,61,all
get_now,61,834,61,all
call_price,61,835,61,all
rt_start,61,836,61,all
got_bigger,61,837,61,all
good_job,61,838,61,all
last_tweet,61,839,61,all
one_guy,61,840,61,all
go_figur,61,841,61,all
top_notch,61,842,61,all
fun_fact,61,843,61,all
week_reach,61,844,61,all
just_hope,61,845,61,all
help_keep,61,846,61,all
said_like,61,847,61,all
clean_water,61,848,61,all
grammi_award,61,849,61,all
million_second,61,850,61,all
second_weekend,61,851,61,all
mid_2000s,61,852,61,all
point_rang,61,853,61,all
help_recruit,61,854,61,all
someth_need,60,855,60,all
im_sure,60,856,60,all
pull_million,60,857,60,all
life_good,60,858,60,all
call_u,60,859,60,all
thank_link,60,860,60,all
tri_best,60,861,60,all
us_today,60,862,60,all
one_think,60,863,60,all
attent_right,60,864,60,all
deccan_may,60,865,60,all
may_today,60,866,60,all
first_though,60,867,60,all
now_time,60,868,60,all
ago_start,60,869,60,all
everyon_amaz,60,870,60,all
locker_room,60,871,60,all
contract_extens,60,872,60,all
team_just,60,873,60,all
mis_sig,60,874,30,all
friend_famili,60,875,60,all
just_need,60,876,60,all
week_start,60,877,60,all
school_school,60,878,30,all
market_call,60,879,60,all
tv_seri,60,880,60,all
just_ask,60,881,60,all
first_want,60,882,60,all
outlaw_gun,60,883,30,all
can_just,60,884,60,all
michael_miller,60,885,30,all
illeg_immigr,60,886,53,all
parent_teacher,60,887,36,all
barack_obama,60,888,60,all
citi_can,60,889,60,all
spokesman_said,60,890,60,all
time_warner,60,891,60,all
mr_romney,60,892,48,all
attorney_offic,60,893,60,all
thursday_night,60,894,60,all
foreign_minist,60,895,60,all
weber_state,60,896,46,all
hand_hand,60,897,60,all
sun_time,60,898,60,all
look_great,59,899,59,all
clear_indic,59,900,59,all
sure_see,59,901,59,all
miss_babi,59,902,59,all
like_hate,59,903,59,all
drive_way,59,904,59,all
almost_got,59,905,59,all
just_late,59,906,59,all
look_watch,59,907,59,all
noth_make,59,908,59,all
guitar_player,59,909,59,all
happi_mother,59,910,59,all
yeah_definit,59,911,59,all
rt_thank,59,912,59,all
commit_suicid,59,913,59,all
new_set,59,914,58,all
come_support,59,915,59,all
true_stori,59,916,59,all
take_year,59,917,59,all
back_hous,59,918,59,all
love_sometim,59,919,59,all
west_virginia,59,920,59,all
just_time,59,921,59,all
anoth_year,59,922,59,all
definit_make,59,923,59,all
one_time,59,924,59,all
set_asid,59,925,59,all
mani_thought,59,926,59,all
old_girl,59,927,59,all
person_experi,59,928,59,all
small_chang,59,929,45,all
cancer_center,59,930,43,all
e_street,59,931,59,all
later_month,59,932,59,all
hit_coach,59,933,59,all
fell_behind,59,934,59,all
record_low,59,935,59,all
need_move,58,936,58,all
think_learn,58,937,58,all
bad_influenc,58,938,58,all
influenc_mr,58,939,58,all
mr_de,58,940,58,all
de_vere,58,941,58,all
vere_twitter,58,942,58,all
twitter_non,58,943,58,all
non_stop,58,944,58,all
stop_sinc,58,945,58,all
sinc_got,58,946,58,all
tell_go,58,947,58,all
thing_go,58,948,58,all
mile_away,58,949,58,all
want_sleep,58,950,58,all
realli_get,58,951,58,all
rememb_plenti,58,952,58,all
studi_abroad,58,953,58,all
book_club,58,954,58,all
think_tweet,58,955,58,all
tweet_friend,58,956,58,all
friend_decid,58,957,58,all
follow_haha,58,958,58,all
1st_time,58,959,58,all
almost_like,58,960,58,all
get_free,58,961,58,all
beauti_day,58,962,58,all
rt_ok,58,963,58,all
michell_l,58,964,58,all
even_tri,58,965,58,all
believ_us,58,966,58,all
us_probabl,58,967,58,all
probabl_alon,58,968,58,all
back_go,58,969,58,all
white_male,58,970,58,all
channel_great,58,971,58,all
choic_make,58,972,58,all
posit_think,58,973,58,all
today_get,58,974,58,all
stick_da,58,975,58,all
da_drank,58,976,58,all
brewer_clinch,58,977,58,all
newt_gingrich,58,978,58,all
t_shirt,58,979,53,all
now_wait,58,980,58,all
contest_see,58,981,58,all
think_need,58,982,58,all
group_thought,58,983,58,all
hard_time,58,984,58,all
much_less,58,985,58,all
much_money,58,986,58,all
also_realli,58,987,58,all
econom_develop,58,988,58,all
throat_cancer,58,989,29,all
work_sinc,58,990,58,all
howard_return,58,991,29,all
servic_year,58,992,29,all
said_wednesday,58,993,58,all
coal_fire,58,994,29,all
hous_member,58,995,58,all
game_start,58,996,58,all
best_music,58,997,29,all
time_got,57,998,57,all
go_epic,57,999,57,all
first_step,57,1000,57,all
get_publish,57,1001,57,all
busi_day,57,1002,57,all
want_whole,57,1003,57,all
know_talk,57,1004,57,all
good_way,57,1005,57,all
bless_day,57,1006,57,all
whose_watch,57,1007,57,all
watch_walk,57,1008,57,all
walk_dead,57,1009,57,all
dead_tweet,57,1010,57,all
tweet_see,57,1011,57,all
hate_lemm,57,1012,57,all
lemm_know,57,1013,57,all
day_come,57,1014,57,all
sleep_stupid,57,1015,57,all
stupid_bio,57,1016,57,all
bio_bull,57,1017,57,all
bull_crap,57,1018,57,all
disneyland_kid,57,1019,57,all
good_person,57,1020,57,all
step_stone,57,1021,57,all
stone_success,57,1022,57,all
keep_post,57,1023,57,all
via_phone,57,1024,57,all
follow_let,57,1025,57,all
pleas_tell,57,1026,57,all
go_peopl,57,1027,57,all
ask_look,57,1028,57,all
realli_well,57,1029,57,all
go_lot,57,1030,57,all
spent_day,57,1031,57,all
fun_morn,57,1032,57,all
medic_technolog,57,1033,57,all
think_play,57,1034,57,all
blog_post,57,1035,57,all
just_one,57,1036,57,all
keep_track,57,1037,57,all
time_move,57,1038,57,all
leav_alon,57,1039,57,all
quick_becam,57,1040,57,all
becam_one,57,1041,57,all
secur_forc,57,1042,57,all
two_run,57,1043,57,all
citi_offici,57,1044,57,all
friday_may,57,1045,57,all
free_agenc,57,1046,57,all
amar_stoudemir,57,1047,57,all
day_start,56,1048,56,all
back_first,56,1049,56,all
know_better,56,1050,56,all
announc_soon,56,1051,56,all
gene_simmon,56,1052,56,all
sometim_want,56,1053,56,all
derrick_rose,56,1054,56,all
close_4th,56,1055,56,all
help_see,56,1056,56,all
time_come,56,1057,56,all
bradi_bunch,56,1058,56,all
best_stori,56,1059,56,all
live_room,56,1060,56,all
video_idea,56,1061,56,all
